time,ids,post,likes,shares,link
2020-09-25 21:08:26.136560,4472881136117358,This statement by Jio would be of special interest to flyers.,401,14 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4472881136117358
2020-09-25 16:08:26.223051,4467364963335642,"""Referring to the Sky News article that says Reliance Retail is in “discussions with advisers to Debenhams about acquiring part or all of the 242 yr old retailer”, we wish to inform that we are NOT in any such discussions. If only Sky News had checked with us, they would have been saved from publishing incorrect news and misleading readers.""
 -RIL Spokesperson",274,9 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4467364963335642
2020-09-23 16:08:26.302429,4459670374105101,"Comments of Shri Henry Kravis, Co-Founder and Co-CEO, KKR on KKR's investment in Reliance Retail Ventures.",170,9 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4459670374105101
2020-09-23 16:08:26.380914,4459662337439238,"Comments of Shri Mukesh D. Ambani, Chairman and Managing Director, RIL on KKR's investment in Reliance Retail Ventures.",331,25 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4459662337439238
2020-09-23 16:08:26.463015,4459650537440418,"Marquee investor, KKR*, will invest Rs 5,550 crore (translating into a 1.28% equity stake) in Reliance Retail on a fully diluted basis.",396,13 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4459650537440418
2020-09-25 21:08:31.704661,4472881136117358,This statement by Jio would be of special interest to flyers.,401,14 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4472881136117358
2020-09-25 16:08:31.773559,4467364963335642,"""Referring to the Sky News article that says Reliance Retail is in “discussions with advisers to Debenhams about acquiring part or all of the 242 yr old retailer”, we wish to inform that we are NOT in any such discussions. If only Sky News had checked with us, they would have been saved from publishing incorrect news and misleading readers.""
 -RIL Spokesperson",274,9 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4467364963335642
2020-09-23 16:08:31.832114,4459670374105101,"Comments of Shri Henry Kravis, Co-Founder and Co-CEO, KKR on KKR's investment in Reliance Retail Ventures.",170,9 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4459670374105101
2020-09-23 16:08:31.889903,4459662337439238,"Comments of Shri Mukesh D. Ambani, Chairman and Managing Director, RIL on KKR's investment in Reliance Retail Ventures.",331,25 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4459662337439238
2020-09-23 16:08:31.949517,4459650537440418,"Marquee investor, KKR*, will invest Rs 5,550 crore (translating into a 1.28% equity stake) in Reliance Retail on a fully diluted basis.",396,13 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4459650537440418
-1,4456794427726029,,,,https://www.facebook.com/RelianceIndustriesLimited/posts/4456794427726029
2020-09-23 16:08:37.240508,4456140384458100,Say Hello To JioPostPaid Plus!,224,20 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4456140384458100
2020-09-23 16:08:37.393763,4456129167792555,"Comments of Sh Akash Ambani, Director, Jio on JioPostPaid Plus",575,38 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4456129167792555
2020-09-23 16:08:37.496679,4456053617800110,Jio Announces JioPostPaid Plus,334,15 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4456053617800110
2020-09-21 16:08:37.599384,4450412595030879,via Business Today ,358,20 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4450412595030879
2020-09-21 16:08:37.699051,4449707485101390,Business Today has an inspiring list of India's most powerful women.,335,14 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4449707485101390
2020-09-18 22:37:00,4437571786314960,"We are proud to have served you Ma’am, we wish you a healthy and happy life ahead.
Sir H N Reliance Foundation Hospital and Research Centre Facility at Seven Hi… See more",117,9 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4437571786314960
2020-09-16 12:47:00,4425367084202097,"Dear Mr Merchant, we are grateful for your words of appreciation, we wish you good health and a long life!
Sir H N Reliance Foundation Hospital and Research Cen… See more",118,15 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4425367084202097
2020-09-15 17:18:00,4421143307957808,"Mental Wellbeing needs our attention just as much as our physical wellbeing. Replace anxiety, stress or restlessness you may be experiencing with #peace and #co… See more",138,16 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4421143307957808
2020-09-14 18:09:00,4416369391768533,"We are proud to have served you Mr. Shah. We wish you good health and a long life!
Sir H N Reliance Foundation Hospital and Research Centre Facility at Seven Hi… See more",129,15 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4416369391768533
2020-09-13 22:27:00,4412536955485110,"Sir H. N. Reliance Foundation Hospital participates in the Blood Donation & Plasma Donation Drive organised by Lalbaugcha Raja Sarvajanik Ganeshotsav Mandal. 
B… See more",118,16 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4412536955485110
2020-09-10 20:13:00,4396822507056555,Media statement for your kind background and support.,434,27 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4396822507056555
-1,4395874090484730,,,,https://www.facebook.com/RelianceIndustriesLimited/posts/4395874090484730
2020-09-09 10:46:00,4389755717763234,"Comments of Shri Egon Durban, Co-CEO and Managing Partner, Silver Lake on Silver Lake's investment in Reliance Retail.",397,23 comments,https://www.facebook.com/RelianceIndustriesLimited/posts/4389755717763234
