time,ids,post,likes,shares,link
2020-09-26 15:57:08.059839,3398985583528695,"Signa 4825.TK - India's largest tipper for Construction aggregates, coal, ores and minerals with technologically advanced features like the Hill Start Assist and Tilt Switch, to ensure high productivity and safety.
#TataMotorsBS6Trucks",3,,https://www.facebook.com/TataMotorsGroup/posts/3398985583528695
2020-09-26 15:30:08.139360,3398457656914821,"TATA ACE ki 15th anniversary par shuru kariye apna kaarobaar aur paiye dheron offers aur gifts. TATA ACE GOLD Diesel ki kharid par paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",15,2 comments,https://www.facebook.com/TataMotorsGroup/posts/3398457656914821
2020-09-26 15:01:08.231272,3398450883582165,"TATA ACE की पन्द्रवीं सालगिराह पर शुरू करिए कारोबार और पाइए ढेरों ऑफर्स और उपहार। TATA ACE GOLD Diesel की खरीद पर पाइए LED TV, 5.99% का कम इंटरेस्ट रेट और रियायती गोल्ड AMC 2 साल/50,000 kms तक। यहाँ क्लिक करें टर्म्स और कंडीशंस जानने के लिए: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",19,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3398450883582165
2020-09-26 15:01:08.314894,3398820966878490,"Tata Motors 710 LPT BS6 Range comes with Air Brakes that increase driver comfort; reduce driver exhaustion and improve the quality of the trip.
#TataBS6LightTrucks",46,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3398820966878490
2020-09-26 14:01:08.400561,3398421466918440,The hydro form chassis of TATA INTRA V30 BS6 enables you to do more business so you can achieve bigger success. Click here for more information: http://bit.ly/2YFalUJ #TataIntraBS6,48,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3398421466918440
2020-09-26 15:57:13.681824,3398985583528695,"Signa 4825.TK - India's largest tipper for Construction aggregates, coal, ores and minerals with technologically advanced features like the Hill Start Assist and Tilt Switch, to ensure high productivity and safety.
#TataMotorsBS6Trucks",3,,https://www.facebook.com/TataMotorsGroup/posts/3398985583528695
2020-09-26 15:30:13.744407,3398457656914821,"TATA ACE ki 15th anniversary par shuru kariye apna kaarobaar aur paiye dheron offers aur gifts. TATA ACE GOLD Diesel ki kharid par paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",15,2 comments,https://www.facebook.com/TataMotorsGroup/posts/3398457656914821
2020-09-26 15:01:13.813539,3398450883582165,"TATA ACE की पन्द्रवीं सालगिराह पर शुरू करिए कारोबार और पाइए ढेरों ऑफर्स और उपहार। TATA ACE GOLD Diesel की खरीद पर पाइए LED TV, 5.99% का कम इंटरेस्ट रेट और रियायती गोल्ड AMC 2 साल/50,000 kms तक। यहाँ क्लिक करें टर्म्स और कंडीशंस जानने के लिए: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",19,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3398450883582165
2020-09-26 15:01:13.878926,3398820966878490,"Tata Motors 710 LPT BS6 Range comes with Air Brakes that increase driver comfort; reduce driver exhaustion and improve the quality of the trip.
#TataBS6LightTrucks",46,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3398820966878490
2020-09-26 14:01:13.942120,3398421466918440,The hydro form chassis of TATA INTRA V30 BS6 enables you to do more business so you can achieve bigger success. Click here for more information: http://bit.ly/2YFalUJ #TataIntraBS6,48,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3398421466918440
-1,3398415040252416,,,,https://www.facebook.com/TataMotorsGroup/posts/3398415040252416
2020-09-26 12:01:19.239185,3398403863586867,"Conquer great success with TATA YODHA BS6. Its tiltable power steering and 215/75 R 16 radial tyres will let you easily defeat fatigue and all the bumps on the road. To know more, click here: https://bit.ly/31ZZtWv #TataYodhaBS6",57,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3398403863586867
2020-09-26 11:01:19.333044,3398394243587829,TATA YODHA BS6 के साथ शानदार सफलता प्राप्त करें। इसका टिलिटेबल पावर स्टीयरिंग और 215/75 R 16 रेडियल टायर्स  बड़ी आसानी से सड़क के गड्ढों और रास्ते की थकान को हरायें। अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6,28,2 comments,https://www.facebook.com/TataMotorsGroup/posts/3398394243587829
2020-09-25 21:01:19.423640,3396527743774479,"TATA INTRA V30 BS6 comes with 1300 kg payload capacity, so you can expand your business and earn bigger profits. Click here for more information: http://bit.ly/2YFalUJ #TataIntraBS6",101,4 comments,https://www.facebook.com/TataMotorsGroup/posts/3396527743774479
2020-09-25 21:01:19.512319,3396455067115080,TATA INTRA V30 BS6 के 1300 किलोग्राम पेलोड क्षमता के साथ आप कमाएं अपने कारोबार में ज़्यादा मुनाफा। अधिक जानकारी के लिए यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6,54,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3396455067115080
2020-09-25 19:01:19.608126,3396225357138051,"TATA ACE ki 15th anniversary ki Khushi mein hum laye hain aapke liye kamaal ke offers aur guaranteed tohfe. Ghar le aiye TATA ACE GOLD Diesel aur saath mein paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs:  http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",97,3 comments,https://www.facebook.com/TataMotorsGroup/posts/3396225357138051
-1,3396188737141713,,,,https://www.facebook.com/TataMotorsGroup/posts/3396188737141713
2020-09-25 18:01:24.915560,3396087570485163,"TATA ACE की पन्द्रवीं सालगिराह की खुशी में हम लाए हैं आपके लिए कमाल के ऑफर्स और साथ में कहीं तोहफे। घर ले आइए TATA ACE GOLD डीजल और साथ में पाइए LED TV, 5.99% का कम इंटरेस्ट रेट और रियायती गोल्ड AMC 2 साल/50,000 kms तक। यहाँ क्लिक करें टर्म्स और कंडीशंस जानने के लिए: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",92,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3396087570485163
2020-09-25 18:01:25.005923,3396051567155430,Utilize the benefit of covering more distance on a single charge with the high energy density battery of 21.5 kWh in Tata Tigor EV – The Electric Sedan. Now with an extended range of 213* km. #ElectricDrivesGrowth,160,10 comments,https://www.facebook.com/TataMotorsGroup/posts/3396051567155430
2020-09-25 17:01:25.095247,3395965310497389,"Tata Motors 710 LPT BS6 Range maximizes your profits with high returns on resale value, even after 7 years.
#TataBS6LightTrucks",162,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3395965310497389
2020-09-25 17:01:25.187812,3395960903831163,"Fear no obstacle or challenge that comes your way. The power of TATA YODHA BS6 will take your business to the next level. To know more, click here: https://bit.ly/31ZZtWv #TataYodhaBS6",55,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3395960903831163
2020-09-25 17:01:25.334107,3395891993838054,अपने रास्ते में आने वाली किसी भी बाधा या चुनौती से डरें नहीं। TATA YODHA BS6 की शक्ति आपके व्यवसाय को अगले स्तर तक ले जाएगी। अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6,33,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3395891993838054
-1,3393306674096586,,,,https://www.facebook.com/TataMotorsGroup/posts/3393306674096586
2020-09-25 16:01:30.679862,3393203397440247,"TATA ACE की पन्द्रवीं सालगिरह पर शुरू कीजिए अपना कारोबार और बनिए आत्मनिर्भर। घर ले आइये TATA ACE GOLD डीजल और साथ में पाइए LED TV, 5.99% की कम ब्याज दर और रियायती Gold AMC 2 साल/50,000 kms तक। टर्म्स और कंडीशंस जानने के लिए यहाँ क्लिक करें: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",4.1K,20 comments,https://www.facebook.com/TataMotorsGroup/posts/3393203397440247
2020-09-25 16:01:30.784808,3392943067466280,"Tata Motors 710 LPT BS6 Range with a proven 4 cylinder 4 SPCR Engine, accelerates your profits ahead by minimizing expenses and downtime.
#TataBS6LightTrucks",3.1K,25 comments,https://www.facebook.com/TataMotorsGroup/posts/3392943067466280
2020-09-25 16:01:30.884191,3392778677482719,"The gold level of comfort with new Design Melba Fabric heat resistant seats and Music System with Blaupunkt Speakers + USB Fast Charging. The Tata Motors 407 Gold SFC BS6 Range makes for delightful journeys.
#TataBS6LightTrucks",2.2K,4 comments,https://www.facebook.com/TataMotorsGroup/posts/3392778677482719
2020-09-24 16:01:30.983249,3392671674160086,"Win every challenge and emerge successful at every turn with the powerful performance of TATA YODHA BS6. To know more, click here: https://bit.ly/31ZZtWv #TataYodhaBS6",1.8K,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3392671674160086
2020-09-24 16:01:31.086463,3392614557499131,जीत लो हर मंज़िल और पाओ कारोबार में तरक्की TATA YODHA BS6 की जानदार परफॉरमेंस के साथ। इसके 215/75 R 16 रेडियल टायर्स पार करें हर मुश्किल रास्ता। अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6,1.9K,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3392614557499131
-1,3392492167511370,,,,https://www.facebook.com/TataMotorsGroup/posts/3392492167511370
2020-09-24 16:01:36.321130,3392419840851936,"TATA INTRA V30 BS6 के साथ अपने व्यवसाय को अगले स्तर तक ले जाकर बड़ी सफलता प्राप्त करें। इसकी हाइड्रो फॉर्म चेसीदे बेहतर परफॉरमेंस बड़े मुनाफे के लिए। अधिक जानने के लिए, यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6",119,1 comment,https://www.facebook.com/TataMotorsGroup/posts/3392419840851936
2020-09-24 16:01:36.413718,3392347097525877,"Tata Motors M&HCV BS6 range mein drivers ki suraksha ke liye maujood hain Engine Brake, NGT brakes aur Hill Start Assist jaise kayi adhunik features, kyunki aapki suraksha humara pratham uddesh hai.
#TataMotorsBS6Trucks",404,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3392347097525877
2020-09-24 16:01:36.506482,3392222930871627,"Tata Motors 610 SK BS6 takes comfort to the next level with power steering and improved ergonomic pedal positions.
#TataBS6LightTrucks",3.8K,31 comments,https://www.facebook.com/TataMotorsGroup/posts/3392222930871627
2020-09-24 16:01:36.603477,3390189491074971,"Tata Motors M&HCV BS6 range ke drivers desh ke pragati ke liye lambi doori tay karte hain. Isliye humare trucks mein 3-way Adjustable Seat, Tilt & Telescopic Steering aur comfortable berth jaise features, aapke safar mein aapko thakne na de.
#TataMotorsBS6Trucks",796,13 comments,https://www.facebook.com/TataMotorsGroup/posts/3390189491074971
2020-09-24 16:01:36.695886,3390019571091963,"Tata Motors 710 LPT BS6 Range brings next level comfort to drivers, with air-conditioned, low vibration cabins that help in increasing productivity and profitability on every trip.
#TataLightBS6Trucks",4.4K,39 comments,https://www.facebook.com/TataMotorsGroup/posts/3390019571091963
-1,3390018141092106,,,,https://www.facebook.com/TataMotorsGroup/posts/3390018141092106
-1,3389902991103621,,,,https://www.facebook.com/TataMotorsGroup/posts/3389902991103621
2020-09-24 16:01:42.104500,3389829237777663,"When driving with the comfort of greater visibility with Panoramic Windscreen in the latest BS6 Tata Motors Trucks, you can enjoy beautiful wide views, in any terrain.
#MonsoonKaSafar #TataMotorsBS6Trucks",428,4 comments,https://www.facebook.com/TataMotorsGroup/posts/3389829237777663
2020-09-24 16:01:42.207686,3389619114465342,"TATA ACE ki 15th anniversary par ghar lekar aiye TATA ACE BS6 aur paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",6.4K,53 comments,https://www.facebook.com/TataMotorsGroup/posts/3389619114465342
2020-09-24 16:01:42.308739,3389555464471707,"Plug into the electrifying environment now by going electric with Tata Tigor EV - The Electric Sedan. Now with an extended range of 213* km.
#ElectricDrivesGrowth",137,4 comments,https://www.facebook.com/TataMotorsGroup/posts/3389555464471707
2020-09-24 16:01:42.408832,3389475577813029,"TATA ACE की पन्द्रवीं सालगिरह पर घर लेकर आइए TATA ACE BS6 और पाइए LED TV, 5.99% की कम ब्याज दर और रियायती Gold AMC 2 साल/50,000 kms तक। टर्म्स और कंडीशंस जानने के लिए यहाँ क्लिक करें: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",6.3K,53 comments,https://www.facebook.com/TataMotorsGroup/posts/3389475577813029
-1,3389112174516036,,,,https://www.facebook.com/TataMotorsGroup/posts/3389112174516036
2020-09-23 16:01:47.715969,3388992894527964,अपने सपनों पर विश्वास करें और TATA INTRA V30 BS6 के साथ बड़ी सफलता प्राप्त करें। इसका बड़ा 52 kW (70 hp) इंजन हर चुनौती से लड़ने और बेहतरीन प्रदर्शन देने के लिए बनाई गई है। अधिक जानकारी के लिए यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6,78,2 comments,https://www.facebook.com/TataMotorsGroup/posts/3388992894527964
2020-09-23 16:01:47.828989,3386723881421532,Want to go electric? What better than to avail #TheElectrifyingSubscription Offer for you to take home your all-new #NexonEV - The Electric SUV powered by #Zipt… See more,235,8 comments,https://www.facebook.com/TataMotorsGroup/posts/3386723881421532
2020-09-23 16:01:47.932743,3386436061450314,Maximise the productivity of your business for bigger profit with TATA INTRA V30 BS6. Its bigger loading area enables you to do more business. Click here for more information: http://bit.ly/2YFalUJ #TataIntraBS6,193,14 comments,https://www.facebook.com/TataMotorsGroup/posts/3386436061450314
2020-09-23 16:01:48.035090,3386434368117150,"Tata Motors M&HCV BS6 Range enhances your saving potential with Application, Tonnage and Duty cycle based Exhaust after treatment system.
#TataMotorsBS6Trucks",4.1K,28 comments,https://www.facebook.com/TataMotorsGroup/posts/3386434368117150
2020-09-23 16:01:48.138150,3386351694792084,TATA INTRA V30 BS6 के साथ बढ़ाएं अपना कारोबार और मुनाफा। इसका बड़ा लोडिंग क्षेत्र आपको अधिक व्यवसाय करने में सक्षम बनाता है। अधिक जानकारी के लिए यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6,142,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3386351694792084
-1,3386220914805162,,,,https://www.facebook.com/TataMotorsGroup/posts/3386220914805162
2020-09-22 16:01:53.390416,3386156608144926,अपने आप को TATA YODHA BS6 के साथ और अधिक व्यापार करने की शक्ति दें। इसकी बड़ी लोड बॉडी और ज़्यादा ग्राउंड क्लीयरेंस बनाए आपके व्यवसाय को अधिक लाभदायक।  अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6,133,7 comments,https://www.facebook.com/TataMotorsGroup/posts/3386156608144926
2020-09-22 16:01:53.494950,3383728018387785,"Iss shubh avsar par TATA ACE BS6 ke saath shuru karein khud ka kaarobaar aur paayein dheron offers aur gifts. ACE ki 15th anniversary par ghar le aiye TATA ACE GOLD Diesel aur saath mein paiye LED TV, low interest rate of 5.99% aur discounted Gold AMC for 2 years/ 50,000 kms*. Click here for T&Cs: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",11K,74 comments,https://www.facebook.com/TataMotorsGroup/posts/3383728018387785
2020-09-22 16:01:53.609670,3383612988399288,"इस शुभ अवसर पर TATA ACE BS6 के साथ शुरू करें खुद का कारोबार और पाएं ढेरों ऑफर्स और उपहार। ACE की पन्द्रवीं सालगिरह पर घर ले आइये TATA ACE GOLD डीजल और साथ में पाइए LED TV, 5.99% की कम ब्याज दर और रियायती Gold AMC 2 साल/50,000 kms तक। टर्म्स और कंडीशंस जानने के लिए यहाँ क्लिक करें: http://bit.ly/2r0SGIl #TataAceBS6 #15YearsOfTataAce #TataAce15thAnniversary",12K,67 comments,https://www.facebook.com/TataMotorsGroup/posts/3383612988399288
2020-09-22 16:01:53.707882,3383346341759286,"Don’t let difficulties stop you, defeat all the challenges with TATA YODHA BS6. Its powerful engine makes every journey smooth. To know more, click here: https://bit.ly/31ZZtWv #TataYodhaBS6",150,4 comments,https://www.facebook.com/TataMotorsGroup/posts/3383346341759286
2020-09-22 16:01:53.809334,3383226945104559,"कठिनाइयों के आने पर रुको नहीं, बल्कि हराओ हर मुश्किल को और आगे बढ़ते जाओ TATA YODHA BS6 के साथ। इसका शक्तिशाली इंजन आपकी मंज़िल तक जाने वाले हर रास्ते को बनाए आसान। अधिक जानकारी के लिए यहाँ क्लिक करें: https://bit.ly/31ZZtWv #TataYodhaBS6",129,5 comments,https://www.facebook.com/TataMotorsGroup/posts/3383226945104559
-1,3383015968458990,,,,https://www.facebook.com/TataMotorsGroup/posts/3383015968458990
2020-09-21 16:01:59.161426,3382941488466438,अब TATA INTRA V30 BS6 के साथ अपने व्यवसाय को अधिक शक्ति और आराम के साथ चलाएं। इसकी बेहतर विशेषताओं से आपके कारोबार को मिले बड़ा मुनाफा। अधिक जानकारी के लिए यहां क्लिक करें: http://bit.ly/2YFalUJ #TataIntraBS6,5.1K,31 comments,https://www.facebook.com/TataMotorsGroup/posts/3382941488466438
2020-09-21 16:01:59.273668,3382470715180182,"Missing your office chai buddy? Tag them to let them know and catch up on your next chai break via a video call! #NationalChaiDay
#ConnectingAspirations",76,7 comments,https://www.facebook.com/TataMotorsGroup/posts/3382470715180182
